timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734350348708,183,Carga/images/birds_icon.gif-106,200,,Carga Loguin 1-196,bin,true,,765,690,93,93,https://petstore.octoperf.com/images/birds_icon.gif,183,0,0
1734350348521,370,Carga/images/splash.gif-101,200,,Carga Loguin 1-218,bin,true,,36395,686,93,93,https://petstore.octoperf.com/images/splash.gif,187,0,0
1734350348522,369,Carga/images/splash.gif-101,200,,Carga Loguin 1-211,bin,true,,36395,686,93,93,https://petstore.octoperf.com/images/splash.gif,187,0,0
1734350348710,182,Carga/images/cart.gif-111,200,,Carga Loguin 1-183,bin,true,,1956,684,92,92,https://petstore.octoperf.com/images/cart.gif,182,0,0
1734350348708,184,Carga/images/cart.gif-111,200,,Carga Loguin 1-182,bin,true,,1956,684,92,92,https://petstore.octoperf.com/images/cart.gif,184,0,0
1734350348709,183,Carga/images/cart.gif-111,200,,Carga Loguin 1-181,bin,true,,1956,684,92,92,https://petstore.octoperf.com/images/cart.gif,183,0,0
1734350348522,371,Carga/images/splash.gif-101,200,,Carga Loguin 1-215,bin,true,,36395,686,92,92,https://petstore.octoperf.com/images/splash.gif,188,0,0
1734350348710,183,Carga/images/sm_cats.gif-102,200,,Carga Loguin 1-225,bin,true,,583,687,92,92,https://petstore.octoperf.com/images/sm_cats.gif,183,0,0
1734350348710,183,Carga/images/separator.gif-99,200,,Carga Loguin 1-236,bin,true,,338,689,92,92,https://petstore.octoperf.com/images/separator.gif,183,0,0
1734350348717,179,Carga/images/sm_dogs.gif-112,200,,Carga Loguin 1-194,bin,true,,600,687,92,92,https://petstore.octoperf.com/images/sm_dogs.gif,179,0,0
1734350348837,182,Carga/images/sm_fish.gif-100,200,,Carga Loguin 1-245,bin,true,,565,687,94,94,https://petstore.octoperf.com/images/sm_fish.gif,182,0,0
1734350348970,40,Carga/generate_204-96,204,No Content,Carga Loguin 1-263,,true,,127,310,94,94,http://www.gstatic.com/generate_204,0,0,20
1734350348259,728,Carga/actions/Catalog.action-97,200,,Carga Loguin 1-248,text,true,,5664,789,94,94,https://petstore.octoperf.com/actions/Catalog.action,728,0,547
1734350348923,34,Carga/generate_204-96,204,No Content,Carga Loguin 1-262,,true,,127,310,93,93,http://www.gstatic.com/generate_204,0,0,17
1734350348789,180,Carga/images/sm_fish.gif-100,200,,Carga Loguin 1-244,bin,true,,565,687,93,93,https://petstore.octoperf.com/images/sm_fish.gif,180,0,0
1734350348757,177,Carga/images/dogs_icon.gif-108,200,,Carga Loguin 1-214,bin,true,,762,689,93,93,https://petstore.octoperf.com/images/dogs_icon.gif,177,0,0
1734350348747,182,CargaLoguin/actions/Account.action;jsessionid=FB73E2EC6189136D6535597A31CEBD3E-113,200,,Carga Loguin 1-177,text,true,,4093,872,93,93,https://petstore.octoperf.com/actions/Account.action;jsessionid=FB73E2EC6189136D6535597A31CEBD3E?signonForm=,182,0,0
1734350348747,182,Carga/images/sm_cats.gif-102,200,,Carga Loguin 1-226,bin,true,,583,687,93,93,https://petstore.octoperf.com/images/sm_cats.gif,182,0,0
1734350348747,181,Carga/images/dogs_icon.gif-108,200,,Carga Loguin 1-210,bin,true,,762,689,93,93,https://petstore.octoperf.com/images/dogs_icon.gif,181,0,0
1734350348752,176,Carga/images/separator.gif-99,200,,Carga Loguin 1-240,bin,true,,338,689,93,93,https://petstore.octoperf.com/images/separator.gif,176,0,0
1734350348746,182,Carga/images/sm_dogs.gif-112,200,,Carga Loguin 1-188,bin,true,,600,687,93,93,https://petstore.octoperf.com/images/sm_dogs.gif,182,0,0
1734350348746,182,Carga/images/fish_icon.gif-104,200,,Carga Loguin 1-205,bin,true,,733,689,93,93,https://petstore.octoperf.com/images/fish_icon.gif,182,0,0
1734350348745,183,Carga/images/cats_icon.gif-105,200,,Carga Loguin 1-213,bin,true,,702,689,93,93,https://petstore.octoperf.com/images/cats_icon.gif,183,0,0
1734350348200,728,Carga/actions/Catalog.action-97,200,,Carga Loguin 1-247,text,true,,5664,789,93,93,https://petstore.octoperf.com/actions/Catalog.action,726,0,547
1734350348743,185,Loguin/actions/Catalog.action-115,200,,Carga Loguin 1-171,text,true,,4973,898,93,93,https://petstore.octoperf.com/actions/Catalog.action,185,0,0
1734350348744,181,Carga/images/sm_dogs.gif-112,200,,Carga Loguin 1-189,bin,true,,600,687,93,93,https://petstore.octoperf.com/images/sm_dogs.gif,181,0,0
1734350348743,182,Carga/images/fish_icon.gif-104,200,,Carga Loguin 1-207,bin,true,,733,689,93,93,https://petstore.octoperf.com/images/fish_icon.gif,182,0,0
1734350348743,181,Carga/images/cart.gif-111,200,,Carga Loguin 1-186,bin,true,,1956,684,93,93,https://petstore.octoperf.com/images/cart.gif,181,0,0
1734350348743,181,Carga/images/sm_dogs.gif-112,200,,Carga Loguin 1-190,bin,true,,600,687,93,93,https://petstore.octoperf.com/images/sm_dogs.gif,181,0,0
1734350348743,181,Carga/images/cart.gif-111,200,,Carga Loguin 1-187,bin,true,,1956,684,93,93,https://petstore.octoperf.com/images/cart.gif,181,0,0
