timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734408824328,279,Carga/generate_204-96,204,No Content,Carga Loguin 1-1,,true,,127,310,1,1,http://www.gstatic.com/generate_204,0,0,214
1734408824611,1245,Carga/actions/Catalog.action-97,200,,Carga Loguin 1-1,text,true,,5664,789,1,1,https://petstore.octoperf.com/actions/Catalog.action,1245,0,837
1734408825859,309,Carga/images/sm_fish.gif-100,200,,Carga Loguin 1-1,bin,true,,565,687,1,1,https://petstore.octoperf.com/images/sm_fish.gif,309,0,0
1734408826173,318,Carga/images/separator.gif-99,200,,Carga Loguin 1-1,bin,true,,338,689,1,1,https://petstore.octoperf.com/images/separator.gif,318,0,0
1734408826492,226,Carga/css/jpetstore.css-98,200,,Carga Loguin 1-1,text,true,,6268,640,1,1,https://petstore.octoperf.com/css/jpetstore.css,226,0,0
1734408826719,411,Carga/images/reptiles_icon.gif-103,200,,Carga Loguin 1-1,bin,true,,963,693,1,1,https://petstore.octoperf.com/images/reptiles_icon.gif,411,0,0
1734408827130,215,Carga/images/sm_cats.gif-102,200,,Carga Loguin 1-1,bin,true,,583,687,1,1,https://petstore.octoperf.com/images/sm_cats.gif,215,0,0
1734408827346,690,Carga/images/splash.gif-101,200,,Carga Loguin 1-1,bin,true,,36395,686,1,1,https://petstore.octoperf.com/images/splash.gif,436,0,0
1734408828037,439,Carga/images/cats_icon.gif-105,200,,Carga Loguin 1-1,bin,true,,702,689,1,1,https://petstore.octoperf.com/images/cats_icon.gif,439,0,0
1734408828477,210,Carga/images/dogs_icon.gif-108,200,,Carga Loguin 1-1,bin,true,,762,689,1,1,https://petstore.octoperf.com/images/dogs_icon.gif,210,0,0
1734408828688,361,Carga/images/fish_icon.gif-104,200,,Carga Loguin 1-1,bin,true,,733,689,1,1,https://petstore.octoperf.com/images/fish_icon.gif,361,0,0
1734408829050,331,Carga/images/birds_icon.gif-106,200,,Carga Loguin 1-1,bin,true,,765,690,1,1,https://petstore.octoperf.com/images/birds_icon.gif,331,0,0
1734408829383,305,Carga/images/sm_birds.gif-107,200,,Carga Loguin 1-1,bin,true,,545,688,1,1,https://petstore.octoperf.com/images/sm_birds.gif,305,0,0
1734408829689,322,Carga/images/sm_reptiles.gif-109,200,,Carga Loguin 1-1,bin,true,,692,691,1,1,https://petstore.octoperf.com/images/sm_reptiles.gif,322,0,0
1734408830014,214,Carga/images/sm_dogs.gif-112,200,,Carga Loguin 1-1,bin,true,,600,687,1,1,https://petstore.octoperf.com/images/sm_dogs.gif,214,0,0
1734408830231,424,Carga/images/cart.gif-111,200,,Carga Loguin 1-1,bin,true,,1956,684,1,1,https://petstore.octoperf.com/images/cart.gif,424,0,0
1734408830655,336,Carga/images/logo-topbar.svg-110,200,,Carga Loguin 1-1,text,true,,16590,691,1,1,https://petstore.octoperf.com/images/logo-topbar.svg,320,0,0
1734408830992,229,CargaLoguin/actions/Account.action;jsessionid=FB73E2EC6189136D6535597A31CEBD3E-113,200,,Carga Loguin 1-1,text,true,,4097,872,1,1,https://petstore.octoperf.com/actions/Account.action;jsessionid=FB73E2EC6189136D6535597A31CEBD3E?signonForm=,228,0,0
1734408831222,399,Loguin/actions/Account.action-114,200,,Carga Loguin 1-1,text,true,,4175,1255,1,1,https://petstore.octoperf.com/actions/Account.action,399,0,0
1734408831622,319,Loguin/actions/Catalog.action-115,200,,Carga Loguin 1-1,text,true,,4973,898,1,1,https://petstore.octoperf.com/actions/Catalog.action,318,0,0
