timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734350650217,44,Carga/generate_204-96,204,No Content,Carga Loguin 1-1,,true,,127,310,1,1,http://www.gstatic.com/generate_204,0,0,24
1734350650269,36,Carga/generate_204-96,204,No Content,Carga Loguin 1-2,,true,,127,310,2,2,http://www.gstatic.com/generate_204,0,0,17
1734350650316,42,Carga/generate_204-96,204,No Content,Carga Loguin 1-3,,true,,127,310,3,3,http://www.gstatic.com/generate_204,0,0,21
1734350650363,38,Carga/generate_204-96,204,No Content,Carga Loguin 1-4,,true,,127,310,4,4,http://www.gstatic.com/generate_204,0,0,19
1734350650410,40,Carga/generate_204-96,204,No Content,Carga Loguin 1-5,,true,,127,310,5,5,http://www.gstatic.com/generate_204,0,0,20
1734350650472,37,Carga/generate_204-96,204,No Content,Carga Loguin 1-6,,true,,127,310,6,6,http://www.gstatic.com/generate_204,0,0,18
1734350650518,38,Carga/generate_204-96,204,No Content,Carga Loguin 1-7,,true,,127,310,7,7,http://www.gstatic.com/generate_204,0,0,19
1734350650565,39,Carga/generate_204-96,204,No Content,Carga Loguin 1-8,,true,,127,310,8,8,http://www.gstatic.com/generate_204,0,0,20
1734350650611,41,Carga/generate_204-96,204,No Content,Carga Loguin 1-9,,true,,127,310,9,9,http://www.gstatic.com/generate_204,0,0,20
1734350650659,41,Carga/generate_204-96,204,No Content,Carga Loguin 1-10,,true,,127,310,10,10,http://www.gstatic.com/generate_204,0,0,20
1734350650721,37,Carga/generate_204-96,204,No Content,Carga Loguin 1-11,,true,,127,310,11,11,http://www.gstatic.com/generate_204,0,0,19
1734350650769,40,Carga/generate_204-96,204,No Content,Carga Loguin 1-12,,true,,127,310,12,12,http://www.gstatic.com/generate_204,0,0,20
1734350650815,42,Carga/generate_204-96,204,No Content,Carga Loguin 1-13,,true,,127,310,13,13,http://www.gstatic.com/generate_204,0,0,20
1734350650860,41,Carga/generate_204-96,204,No Content,Carga Loguin 1-14,,true,,127,310,14,14,http://www.gstatic.com/generate_204,0,0,20
1734350650923,41,Carga/generate_204-96,204,No Content,Carga Loguin 1-15,,true,,127,310,15,15,http://www.gstatic.com/generate_204,0,0,21
1734350650262,728,Carga/actions/Catalog.action-97,200,,Carga Loguin 1-1,text,true,,5664,789,16,16,https://petstore.octoperf.com/actions/Catalog.action,728,0,542
1734350650970,41,Carga/generate_204-96,204,No Content,Carga Loguin 1-16,,true,,127,310,16,16,http://www.gstatic.com/generate_204,0,0,21
1734350650307,720,Carga/actions/Catalog.action-97,200,,Carga Loguin 1-2,text,true,,5664,789,16,16,https://petstore.octoperf.com/actions/Catalog.action,720,0,541
1734350651033,40,Carga/generate_204-96,204,No Content,Carga Loguin 1-17,,true,,127,310,17,17,http://www.gstatic.com/generate_204,0,0,20
1734350650358,734,Carga/actions/Catalog.action-97,200,,Carga Loguin 1-3,text,true,,5664,789,18,18,https://petstore.octoperf.com/actions/Catalog.action,734,0,550
1734350651079,41,Carga/generate_204-96,204,No Content,Carga Loguin 1-18,,true,,127,310,19,19,http://www.gstatic.com/generate_204,0,0,20
1734350650401,727,Carga/actions/Catalog.action-97,200,,Carga Loguin 1-4,text,true,,5664,789,19,19,https://petstore.octoperf.com/actions/Catalog.action,727,0,545
1734350651109,38,Carga/generate_204-96,204,No Content,Carga Loguin 1-19,,true,,127,310,19,19,http://www.gstatic.com/generate_204,0,0,19
1734350650990,178,Carga/images/sm_fish.gif-100,200,,Carga Loguin 1-1,bin,true,,565,687,20,20,https://petstore.octoperf.com/images/sm_fish.gif,178,0,0
1734350650450,723,Carga/actions/Catalog.action-97,200,,Carga Loguin 1-5,text,true,,5664,789,20,20,https://petstore.octoperf.com/actions/Catalog.action,723,0,544
1734350651160,41,Carga/generate_204-96,204,No Content,Carga Loguin 1-20,,true,,127,310,20,20,http://www.gstatic.com/generate_204,0,0,20
1734350651028,179,Carga/images/sm_fish.gif-100,200,,Carga Loguin 1-2,bin,true,,565,687,20,20,https://petstore.octoperf.com/images/sm_fish.gif,179,0,0
1734350650509,732,Carga/actions/Catalog.action-97,200,,Carga Loguin 1-6,text,true,,5664,789,21,21,https://petstore.octoperf.com/actions/Catalog.action,732,0,549
1734350651212,37,Carga/generate_204-96,204,No Content,Carga Loguin 1-21,,true,,127,310,21,21,http://www.gstatic.com/generate_204,0,0,18
1734350651092,181,Carga/images/sm_fish.gif-100,200,,Carga Loguin 1-3,bin,true,,565,687,22,22,https://petstore.octoperf.com/images/sm_fish.gif,181,0,0
1734350650556,737,Carga/actions/Catalog.action-97,200,,Carga Loguin 1-7,text,true,,5664,789,22,22,https://petstore.octoperf.com/actions/Catalog.action,737,0,555
1734350651128,177,Carga/images/sm_fish.gif-100,200,,Carga Loguin 1-4,bin,true,,565,687,22,22,https://petstore.octoperf.com/images/sm_fish.gif,177,0,0
1734350651269,36,Carga/generate_204-96,204,No Content,Carga Loguin 1-22,,true,,127,310,22,22,http://www.gstatic.com/generate_204,0,0,18
1734350650604,735,Carga/actions/Catalog.action-97,200,,Carga Loguin 1-8,text,true,,5664,789,23,23,https://petstore.octoperf.com/actions/Catalog.action,735,0,552
1734350651308,34,Carga/generate_204-96,204,No Content,Carga Loguin 1-23,,true,,127,310,23,23,http://www.gstatic.com/generate_204,0,0,17
1734350651168,177,Carga/images/separator.gif-99,200,,Carga Loguin 1-1,bin,true,,338,689,23,23,https://petstore.octoperf.com/images/separator.gif,177,0,0
1734350651173,177,Carga/images/sm_fish.gif-100,200,,Carga Loguin 1-5,bin,true,,565,687,23,23,https://petstore.octoperf.com/images/sm_fish.gif,177,0,0
1734350651208,177,Carga/images/separator.gif-99,200,,Carga Loguin 1-2,bin,true,,338,689,24,24,https://petstore.octoperf.com/images/separator.gif,177,0,0
