timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734358785515,187,Carga/images/reptiles_icon.gif-103,200,,Carga Compra 1-307,bin,true,,963,693,137,137,https://petstore.octoperf.com/images/reptiles_icon.gif,187,0,0
1734358785515,190,Carga/images/sm_cats.gif-102,200,,Carga Compra 1-299,bin,true,,583,687,137,137,https://petstore.octoperf.com/images/sm_cats.gif,190,0,0
1734358785516,189,Carga/images/fish_icon.gif-104,200,,Carga Compra 1-279,bin,true,,733,689,137,137,https://petstore.octoperf.com/images/fish_icon.gif,189,0,0
1734358785515,190,Agregar/actions/Cart.action-119,200,,Carga Compra 1-226,text,true,,4681,880,137,137,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-1,190,0,0
1734358785515,191,Carga/images/sm_cats.gif-102,200,,Carga Compra 1-298,bin,true,,583,687,137,137,https://petstore.octoperf.com/images/sm_cats.gif,191,0,0
1734358785515,191,Agregar/actions/Cart.action-119,200,,Carga Compra 1-223,text,true,,4681,880,137,137,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-1,191,0,0
1734358785515,191,Loguin/actions/Account.action-114,200,,Carga Compra 1-239,text,true,,4175,1266,137,137,https://petstore.octoperf.com/actions/Account.action,191,0,0
1734358785515,191,Carga/images/sm_dogs.gif-112,200,,Carga Compra 1-259,bin,true,,600,687,137,137,https://petstore.octoperf.com/images/sm_dogs.gif,191,0,0
1734358785516,193,Agregar/actions/Cart.action-119,200,,Carga Compra 1-218,text,true,,4681,880,137,137,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-1,190,0,0
1734358785516,193,BusquedaAgregar/actions/Catalog.action-118,200,,Carga Compra 1-219,text,true,,4123,848,137,137,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,193,0,0
1734358785515,194,Busqueda/actions/Catalog.action-116,200,,Carga Compra 1-225,text,true,,3445,1173,137,137,https://petstore.octoperf.com/actions/Catalog.action,194,0,0
1734358785515,194,Loguin/actions/Account.action-114,200,,Carga Compra 1-242,text,true,,4175,1268,137,137,https://petstore.octoperf.com/actions/Account.action,194,0,0
1734358785515,194,Carga/images/sm_birds.gif-107,200,,Carga Compra 1-267,bin,true,,545,688,137,137,https://petstore.octoperf.com/images/sm_birds.gif,194,0,0
1734358785516,193,Agregar/actions/Cart.action-119,200,,Carga Compra 1-221,text,true,,4681,880,137,137,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-1,193,0,0
1734358785516,193,Carga/images/sm_dogs.gif-112,200,,Carga Compra 1-260,bin,true,,600,687,137,137,https://petstore.octoperf.com/images/sm_dogs.gif,193,0,0
1734358785516,193,Carga/images/sm_dogs.gif-112,200,,Carga Compra 1-257,bin,true,,600,687,137,137,https://petstore.octoperf.com/images/sm_dogs.gif,193,0,0
1734358785673,37,Carga/generate_204-96,204,No Content,Carga Compra 1-339,,true,,127,310,137,137,http://www.gstatic.com/generate_204,0,0,18
1734358785515,195,Loguin/actions/Account.action-114,200,,Carga Compra 1-241,text,true,,4171,1266,137,137,https://petstore.octoperf.com/actions/Account.action,195,0,0
1734358785515,195,Loguin/actions/Account.action-114,200,,Carga Compra 1-238,text,true,,4175,1266,137,137,https://petstore.octoperf.com/actions/Account.action,195,0,0
1734358785515,195,Loguin/actions/Account.action-114,200,,Carga Compra 1-235,text,true,,4175,1266,137,137,https://petstore.octoperf.com/actions/Account.action,195,0,0
1734358785516,197,BusquedaAgregar/actions/Catalog.action-118,200,,Carga Compra 1-214,text,true,,4123,848,137,137,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,197,0,0
1734358785694,19,Confirmar/generate_204-125,204,No Content,Carga Compra 1-209,,true,,127,310,137,137,http://www.gstatic.com/generate_204,0,0,0
1734358785524,189,Carga/images/separator.gif-99,200,,Carga Compra 1-317,bin,true,,338,689,137,137,https://petstore.octoperf.com/images/separator.gif,189,0,0
1734358785516,198,Busqueda/actions/Catalog.action-116,200,,Carga Compra 1-230,text,true,,3445,1173,137,137,https://petstore.octoperf.com/actions/Catalog.action,198,0,0
1734358785515,199,Loguin/actions/Account.action-114,200,,Carga Compra 1-236,text,true,,4177,1266,137,137,https://petstore.octoperf.com/actions/Account.action,199,0,0
1734358785516,198,Busqueda/actions/Catalog.action-116,200,,Carga Compra 1-228,text,true,,3445,1173,137,137,https://petstore.octoperf.com/actions/Catalog.action,198,0,0
